title,ingredients,method
"Venison Cutlets with Apples
","[['1 slice venison, 1/2 inch thick', '4 apples', 'Powdered sugar', '1/3 cup port wine', 'Salt and pepper to taste', 'Butter', '12 candied cherries']]","[['Wipe, core, and cut apples in 1/4-inch size slices. Sprinkle with', 'powdered sugar; add wine, cover, and let stand 30 minutes. Drain', '(reserving wine) and saute in butter. Cut venison in cutlets, sprinkle', 'with salt and pepper, and cook 3 to 4 minutes in lightly greased pan.', 'Remove from pan. Melt 3 tablespoons butter in pan; add wine drained', 'from apples and cherries. Reheat cutlets in sauce and serve with apples.']]"
"Rabbit In Tarragon Sauce
","[['2 rabbits, cut into serving pieces', 'Salt and pepper', '4 tablespoons Olive oil', '1 cup onion, chopped', '1 cup carrot, peeled and chopped', '1 cup celery, chopped', 'Flour', '2 cans chicken broth', '1/2 cup sherry', '2 teaspoons tarragon', '1 cup heavy whipping cream', '1 tablespoon Dijon mustard', '1/4 cup parsley, minced']]","[['Season rabbit with salt and pepper. Place olive oil in skillet and', 'brown rabbit. Remove meat and drain on paper towel. Add onion, carrot', 'and celery to skillet. Saute 5 minutes. Stir in enough flour to make', 'a paste. Blend in broth, sherry and tarragon. Return rabbit to skillet.', 'Bring sauce to a boil and reduce heat to simmer. Baste meat frequently', 'for 45-60 minutes. Remove rabbit to serving platter and keep warm in', 'oven. Strain and degrease sauce, discarding vegetables. Return remaining', 'sauce to skillet and add cream. Simmer until thickened, stirring', 'frequently. Remove from heat and add mustard and parsley. Pour sauce', 'over rabbit and serve.']]"
"E-Cookbooks Fish & Game Recipe Sampler
",[],"[['Turn duck and roast, breast side up, until duck is deep golden', 'brown and cooked through, about 15 minutes longer.', 'Transfer duck to platter. Serve with warmed sauce.']]"
"Baked Mahi-—Mahi with Dill Sauce
","[['1/4 cup sour cream', '1/4 cup plain yogurt', '1 tablespoon mayonnaise or salad dressing', '1 tablespoon minced fresh dill or 1 teaspoon dried dill', '1/2 teaspoon Dijon mustard', '1/8 teaspoon bottled hot pepper sauce', 'Salt & pepper to taste', '2 Mahi-Mahi Steaks', '1 tablespoon vegetable oil', '1 tablespoon lemon juice', 'Salt', 'White pepper']]","[['Combine our sour cream, yogurt, mayonnaise, mustard, and hot', 'sauce. Stir in dill; add salt and pepper to taste. Blend well.', 'Allow to stand at least 1/2 hour to blend flavors. Serve at room', 'temperature. May be refrigerated up to 24 hours.', 'Pat fish dry with paper towels. Combine oil and lemon juice; brush', 'on both sides of fish. Season lightly with salt and white pepper.', 'Place an inch apart in a lightly oiled baking dish. Bake at 450F', 'for approximately 15 mintues. When fish tests are done, transfer', 'to warm plates. Spoon Dill Sauce over fish.']]"
"Roast Goose with Wild Rice
","[['1 (12 pound) fresh goose', 'salt to taste', '4 cups wild rice, cooked', '2/3 cup chopped toasted hazelnuts', '2 Granny Smith apples — peeled, cored and chopped', '1/2 cup chopped onion', '2 teaspoons ground savory', '3 tablespoons chopped fresh parsley', 'freshly ground black pepper', '1 1/2 tablespoons all-purpose flour', '4 cups water']]","[['Mix together the cooked rice, nuts, apples, onion, and herbs. Season', 'to taste with salt and pepper. Remove the neck, heart, and gizzard', 'from the goose. Wash the bird inside and out. Pat dry. Fill the cavity', 'of the goose with the stuffing, skewer closed, and lace string around', 'the skewers. Truss the bird.', 'Roast in a preheated 325F oven, breast side down, for 1 1/2 hours.', 'Draw off the fat as it accumulates. Turn, and roast another 1 1/2 hours.', 'When done, the juices should run clear when the bird is pricked where', 'the thigh attaches to the body. Remove trussing strings and skewers', 'before carving.', 'While the goose is roasting, place the neck, heart, and gizzard ina', 'saucepan with water. Let simmer gently, partially covered, for several', 'hours, until reduced to slightly less than 2 cups. Season the broth to', 'taste with salt.', 'Pour off all but 1 tablespoon of the fat from the roasting pan.', 'Sprinkle a little flour over the bottom, 1 to 2 tablespoons, depending', 'on how thick you like your gravy. Set the pan over low heat. Stir for', '2 minutes, scraping up all the browned bits. Add the reserved goose', 'broth to the pan, and whisk until smooth. Taste and season with salt', 'and pepper. Serve in a gravy boat alongside the bird.']]"
"Catfish with Parsley-Pecan Sauce
","[['Sauce:', '2 cups tightly packed fresh parsley, leaves only', '1/2 cup olive oil', '1/2 cup broken pecan meats', '1 large clove garlic, chopped', '1/2 cup freshly grated parmesan cheese', '1/2 cup freshly grated romano cheese', '2 tablespoons unsalted butter, cut into pieces'], ['2 cups all-purpose flour', '1 tablespoon cayenne pepper', '1 tablespoon, plus 1 teaspoon salt', '6 catfish fillets, about 6 ounces each', '2 tablespoons vegetable oil', '2 tablespoons unsalted butter', '2 cups parsley—pecan sauce']]","[['Place parsley in food processor and process until coarsely', 'chopped, turning machine off and on and scraping down sides. Add', 'all other ingredients except salt, and process until mixture makes', 'a smooth paste. Store, tightly covered in refrigerator.', 'Makes about 2 cups.'], ['Sauce:'], ['Mix flour, cayenne pepper and salt. Spread on large platter and', 'dredge each fillet, shaking off excess. Set aside on sheet of', 'waxed paper. Heat half the oil and butter in a skillet large', 'enough to accommodate 3 fillets. When butter is foaming but not', 'brown, add fillets and saute on one side for about 4 minutes,', 'until light golden. Turn fillets and spread the browned side with', 'sauce; continue to saute until underside is browned, about another', '4 minutes. Cover skillet for a few minutes to melt sauce. Remove', 'fish to platter. Add remaining oil and butter and cook remaining', 'fillets.']]"
"Medieval Sweet and Sour Fish
","[['2 pounds carp or other fish fillet', '1/4 cup flour', '1 medium onion, minced', '3/4 cup white wine', '3/4 cup cider vinegar', '4 Tablespoons brown sugar', '1/4 teaspoon ground cloves', '1/4 cup currants', 'Pinch of mace', '1/4 cup raisins', 'salt to taste']]","[['Cut fillets into large chunks and dredge them in flour. Heat oil', 'in a large heavy frypan and saute onion until transparent. Add fish', 'chunks and brown. In a bowl, combine remaining ingredients for a', 'sauce. Pour over browned fish and onions.']]"
"Fricassee of Rabbit
","[['2 rabbits, about 3 pounds each, skinned and cut up', '(or similar amount of chicken)', '4 egg yolks, beaten', '2 cups bread crumbs', '1/8 teaspoon mace', '1/8 teaspoon nutmeg', '1/4 cup butter for frying', '2 Cups brown gravy', '1 cup red wine', '1/2 pound fresh mushrooms, sliced', '2 tablespoons each — butter and flour; mix well']]","[['Rub the rabbit pieces with the egg yolks and roll in bread crumbs', 'to which you have added the mace and nutmeg. Fry in a dutch oven', 'until well browned. Add the remaining ingredients and stir until', 'thick. Cover and simmer until tender.']]"
"Roast Quail Stuffed with Foie Gras
","[['4 quail, boned', 'Salt and pepper', 'Pate de foie gras (enough to stuff quail, about 2 ounces each)', '4 pieces of bacon', '3 tablespoons unsalted butter', '1/3 cup minced shallot', '1/4 cup Armagnac', '1 1/2 cups veal or chicken stock', '2 to 3 teaspoons arrowroot dissolved in water', 'Fresh chervil for garnish']]","[['Preheat oven to 350F. Season quail, stuff with foie gras and wrap', 'with bacon. In oven proof saute pan heat 2 tablespoons of the butter', 'over moderate heat until hot. Add quail and cook until golden on all', 'sides. Transfer to oven and roast 15 minutes. Transfer quail to a', 'serving dish.', 'Discard all but 2 tablespoons fat from pan. Add shallot and cook,', 'stirring, 1 minute. Deglaze pan with Armagnac, scraping up brown', 'bits clinging to bottom of pan. Add veal stock and reduce to 1 cup.', 'Add enough arrowroot to lightly thicken sauce. Whisk in remaining', 'butter. Pour juices from platter containing quail into sauce and', 'stir to combine. Coat quail with sauce and garnish with chervil.']]"
"Carp with Red Sauce
","[['Batter:', '1 cup cold water', '1 egg', '1/4 coll', '1/4 cup flour', '4 teaspoons cornstarch', '1 teaspoon baking powder', '1t salt', '1/2 teaspoon MSG (optional)']]","[['Red Sauce:', '1 cup catsup', '1 cup chili sauce', 'dash of Tabasco', 'dash of Worcestershire', 'squeeze of lemon', '3 Tablespoons pure ground horseradish', 'salt and pepper to taste'], ['Mix water, egg and oil before adding other ingredients. Dip strips', 'in batter, drop them into a deep fryer. Cook until done, drain on', 'paper toweling. Much like hors d’oeuvres. Dip into the following sauce.'], ['Vegetable oil, heated in a deep fryer'], ['1 pound carp fillets, skinned and cut 3/8-inch thick', '(cutting shortens ""floating bones"" so cooking can break them down)']]"
